东湖花园,东纵大道沃尔玛楼上,481户,东莞,1998-01,普通住宅,东莞市贝斯特物业有限公司,,0.0,1.8元/平米·月,,48.0%,,,,23.04606,113.772718,"[""http://pic1.ajkimg.com/display/c5a6d7c21c5960b792ff88661d387bb4/200x200.jpg"",""http://pic1.ajkimg.com/display/a2b77b8dc7d1a10c7227f3c6df2a6130/200x200.jpg""]",东湖花园是东莞首个33层高层高档住宅区，自从世界头号零售商沃尔玛进驻安营之后，这里就被人们习惯地称之为沃尔玛商圈。 东湖花园3栋共481套—2006年6月中旬推出—精装修+带户口+投资+住家+商用+ 东莞首个33层高层高档住宅区，户型为两房 、三房 ， 面积在110 —133平米之间。
丽景花园,常平横江厦村,1200户,东莞,1998-01,普通住宅,东莞市万达物业管理有限公司,,2,2.4元/平方米·天,1000,58.0%,508500平方米,,,22.992562290453,114.0246235512,"[""http://pic1.ajkimg.com/display/02579a00f7a03d6255361e0cbfca9388/200x200.jpg"",""http://pic1.ajkimg.com/display/6865a71f84adcb26cb79f67bd5a626cf/200x200.jpg"",""http://pic1.ajkimg.com/display/7c12f6154248aab3f8843b6879a5cdd6/200x200.jpg"",""http://pic1.ajkimg.com/display/fa7297e1ef526c5c5eec9301530f2a8b/200x200.jpg""]",3层别墅式设计，电梯别墅楼中楼，客厅楼底高13呎，超阔落地玻璃高过9呎（相等於一般物业的天花高度）。 为电梯别墅单位均采用独特的光学建筑技术设计，令光与景能完全融合。 为的只是要尽情迎接阳光到访；窗房设计对流互动，令室内空气流通形態媲美大自然的清新空气。 独有的3层空间星级间格予您真正尊尚的完美生活模式，入中主層为楼底高达13呎的客厅及额外加送的特大观景台（面积可高达180呎），下半层则是设计归一的厨房、饭厅及两间睡房、客廁。從主層再上半層则是一间客房（可作睡房、书房或工作间）及体现优越的超级主人豪华套房，居高臨下，氮派超然。 在丽景花园您有的是用之下不尽的时间和度假情怀，您可以选择在您的私人空中花园（超级观景台）静躺著或轻倚著，让阳光及清风给您洗礼。
隆福花园,塘厦镇迎宾大道路段爱民街,1570户,东莞,2006-01,普通住宅,永发物业,,2.0,1.8元/平方米,1357,46.0%,280000平方米,,,22.812997,114.085772,"[""http://pic1.ajkimg.com/display/093c9c68a1050487d62896e290d2e206/200x200.jpg"",""http://pic1.ajkimg.com/display/42acbad5183f4caed35caa1869cc8e3e/200x200.jpg"",""http://pic1.ajkimg.com/display/9f887b26b26c423984cc79cde081b22b/200x200.jpg"",""http://pic1.ajkimg.com/display/ab39d7ae08223a27681ee469fd99a615/200x200.jpg""]",该项目占地115000平方米，总建筑面积280000平方米，由二十多栋小高层组成，楼宇之间采用超大间距，松散围合型，双面园林，小区内有近30000平方米的城市主题式运动休闲生态公园：有约25000平方米的内庭水景园林 位于东莞市塘厦镇迎宾路段，距离莞深高速2分钟车程，东莞，深圳，惠洲30分钟生活圈内，交通便捷，畅通无阻。
丰泰裕田花园,原107国道树田路段,5000户,东莞,2007-01,普通住宅,东莞市龙泽物业管理有限公司,,1.08,2元/平方米·月,1500,45.8%,260000平方米,,,22.818798,113.742986,"[""http://pic1.ajkimg.com/display/21b4625ed8aa9deff8d1241338a29b49/200x200.jpg"",""http://pic1.ajkimg.com/display/510c31f9860be3c5290163137a3953d8/200x200.jpg""]","丰泰裕田花园位于107国道树田路段，临近龙眼、北栅、大宁、树田、厦边、厦岗，距虎门、长安中心区仅9分钟车程，项目占地23.5万㎡，总建筑面积26万㎡，容积率1.08，绿化率高达45.8%，由35栋小高层、35套别墅以及一座五星级多功能商务度假酒店组成，坐享30公顷天然湖泊，融会贯穿东南亚热带园林风情。项目分三期开发，可容纳1800余户家庭居住。一期、二期别墅、洋房已全部售磬，三期景观洋房现正热售,推出294套单位，主力户型为三房二厅，面积102－135平方米。独享30公顷天然湖泊，景色无双。 重金打造的东南亚热带风情园林 东莞首个鲁班奖——丰泰花园酒店坐落其中，集商务、度假、休闲于一体。一期、二期别墅、洋房已全部售磬，目前三期即将开售"
景湖时代城,四环路与宏伟路交汇处,2100户,东莞,2010-01,普通住宅,东莞市光大物业管理有限公司,,1.86,2.25元/平方米.月,3000,46.75%%,500000平方米,,,23.004752,113.764217,"[""http://pic1.ajkimg.com/display/95e83ff1837d2e6676cf6d72ea691d8b/200x200.jpg"",""http://pic1.ajkimg.com/display/551681ce62ff8f8951af184731c2e254/200x200.jpg"",""http://pic1.ajkimg.com/display/70296579c261215afa5e9cd37d3a20e5/200x200.jpg"",""http://pic1.ajkimg.com/display/a2773e44646e064ccfae162453335d27/200x200.jpg""]",景湖时代城位于四环路与宏伟路交汇处，南至未来世界，北至四环路，西至宏伟路，东至景湖春晓。规划为商住用地，总用地面积146769平方米，规划总建筑面积452482平方米，容积率1.96，建筑密度21.81%，绿地率46.75%。层数为32层，建筑高度99.9米，停车位3000多个。景湖时代城从建筑生活的新高度出发，由若干多层、小高层和高层建筑组成，百米超宽楼间距。根据项目地形高差，基地标高设计了几个不同层次的组团。通过园林小品、台阶及坡道处理，使各组团之间完成高差的过渡和转换，使商业以上的住宅保持统一的建筑轮廓线。立面造型创新，采用荷兰风格的现代建筑形式，通过整幅落地玻璃凸窗设计，使整个建筑通透而简洁。配合水平向白色阳台和挑板，以及顶层通高双层玻璃面设计，形成全视角、全景观、全私密的立体建筑排场。 景湖时代城采用大气而优雅的法式园林设计，坚持强调细节处理的传统和法国生活的高品位相契合的设计原则，演绎高贵浪漫的法式风情园林。园林整体规划中寻求连贯性与景观面的最大铺开，由建筑意向性的围合成一个景观中心，以丰富的水态为线，串联园区内各个小景点，运用堆土成坡、下沉式泳池，铺地落差，植物配置等手段进行高差的创造和空间的转换。使整个景观真正成为一个四维空间作品，从而创造一个优雅、尊贵、浪漫的法式风情园林。创造新时代原生态住区的典范。 景湖时代城户型面积以85-180平米为主力户型。项目网络中心区鼎级风尚生活配套，将城市商业、教育、娱乐、商务等配套设施一网打尽。社区一公里范围内拥有大型商业第一国际、怡丰都市餐饮及商业一条街、友谊商城和光大小区内的日用商品街区等等；拥有康桥、爱弥尔、新亚外国语小学、朝天等学校15所；周边公共交通线路有：K1、K2、K4、31、9、10、C1、C3等十余条。其中项目自身配套有6万平米的景湖商业中心及特色商街，更为城市中坚阶层提供24小时便捷舒适的高端生活配套服务，让您足不出户，尽享城央盛景生活排���！
江滨花园,江滨大道金泰开发区,2000户,东莞,2004-01,普通住宅,高田物业管理有限公司,,1.7,1.5元/平方米·月,650,33.0%,35000平方米,,,23.053447529056,113.74317062161,"[""http://pic1.ajkimg.com/display/d038ce1bc1376be93d3753c6f49758ee/200x200.jpg"",""http://pic1.ajkimg.com/display/a53d8b8eb1058ae2b169e1484904e055/200x200.jpg"",""http://pic1.ajkimg.com/display/819c1793a9df1dd93ac47743c4a1832f/200x200.jpg"",""http://pic1.ajkimg.com/display/92a8c704980f02074ea0ed45415ab740/200x200.jpg""]",随着东莞市新城市改造，位于市区西部的万江区正经历着日新月异的变迁。华南MALL的启动，长途车站的迁入，万江货运码头，深圳机场候机楼等项目的筹建，市五环路的全线贯通，无疑确立了万江作为东莞物流枢纽的重心地位，中国首个超大型主题购物公园——华南MALL的落户，意味着行业、资源的重整配置，万江将面临更多的商机与挑战。其与东莞东城、南城相辉映，成为东莞未来城市规化重中之重。新思维，新经济的强大力量，激发万江全新的生命力，使之在城市面貌、居住环境、投资环境的社会方方面面产生脱胎换骨的变化。万江巨大的变化使万千民众为之击掌鼓节，更为处在万江新城市核心地带的江滨花园带来不可估量的价值空间。 至今历时十载的东莞名地产万江江滨花园，催生万江板块的成熟。发展商东莞市高田房地产开发有限公司多年来为万江板块的策动做出了巨大的贡献，由其规划建设的江滨花园居住小区早已是东莞家喻户晓的大型社区。江滨花园以优质的园林环境、精雅的建筑、完善的配套、严谨的管理及巨大的升值空间，成为众多置业者抢购的对象。已成为近万人居住、入住率达90%以上的成熟社区。江滨花园作为万江房地产的龙头，在其周边区域形成了新万江城市中心的基础。新万江区府，华南MALL，物流中心，**途车站，市最大的书城等黄金设施带给江滨花园令人心动的投资价值。江滨花园第七期翠欣苑的推出，令众多眼明手快的置业者趋之若骛。
花样年江山,公常路,272户,东莞,2010-03,普通住宅,深圳市花样年物业有限公司,,2.5,1.65,2060,40%,322551.67平方米,,,22.862069,113.982055,"[""http://pic1.ajkimg.com/display/3605b39367e204fe269a52cc4516aff7/200x200.jpg"",""http://pic1.ajkimg.com/display/263e79c7d9a729add9dffadd7e0c7eb5/200x200.jpg"",""http://pic1.ajkimg.com/display/a604d0154451449504b31ac6e63bf028/200x200.jpg""]",花样年是中国领先的物业开发商及相关物业服务供应商，是中国唯一一家集团的成员公司被中国房地产TOP10研究组评为中国房地产百强企业、中国房地产策划代理百强企业和中国物业服务百强企业的公司。花样年于1996年在深圳启动物业开发业务。凭借丰富的经验和卓越的能力，已成功扩张至中国增长最快的其中四个经济区（即成渝经济区、珠江三角洲地区、长江三角洲地区及京津都市圈），目前专注于上述各经济区发展房地产业务。花样年已于2009年11月25日成功登陆香港联合交易所主板（股份代号：1777）。 　　花样年的目标客户是富裕中高阶层的个人及家庭，以及高增长的中小型企业。此类客户的收入和购买力持续上升，因此，针对这些富有客户而开发的物业需求量必将随之增加。为迎合目标客户多样化的需求，花样年开发一系列物业项目，并重点开发城市综合体和精品高档住宅两类物业，其中以城市综合体为基础拓展商业地产业务。 　　东莞市花样年房地产投资有限公司成立于2006年12月，是花样年控股集团有限公司在���莞设立的全资附属公司。在东莞目前开发的项目名称为“君山花园”、“江山花园”（项目推广名：花样年·君山，以下简称“君山”， 花样年·江山，以下简称“江山”）。
信义一号,德政中路293号,1500户,东莞,2009-06,普通住宅,:深圳市世房物业管理有限公司,,2.8,2.50,1700,35.0%,280000平方米,,,22.818635,113.810874,"[""http://pic1.ajkimg.com/display/9e82772d70aa138fc10aeed6f2f48555/200x200.jpg"",""http://pic1.ajkimg.com/display/4d1611c70c7287535b5f79ff1c626971/200x200.jpg"",""http://pic1.ajkimg.com/display/bea0744f9d5f54485421818f703f789e/200x200.jpg"",""http://pic1.ajkimg.com/display/03f6deb880d664f8622f65b46dd25c48/200x200.jpg""]",信义长安1号位于东莞**安镇二环路与体育路交汇处，西邻长安镇中心广场及长安镇人民**，北拥长安镇中心公园，南接长安镇体育公园，拥有稀缺的中心区自然资源和配套设施。本项目距离深圳中心区仅50公里，距离深圳机场约20分钟车程。 信义长安1号占地面积约8万平米，总建筑面积约28万平米，主力户型110平方米至170平方米的三房、四房。高实用率户型设计，户户通透。超大入户花园，大面积景观阳台，空中合院，270度景观凸窗带给客户空中别墅生活体验。园林特色：菲律宾籍设计师设计的新加坡特色风情园林，对自然元素的巧妙运用，园林规划与周围环境建筑有效结合。动静结合的规划处理方便聚集、减少活动区带给住户的喧闹。鱼尾狮、水墙、喷泉和超大的游泳池等水景设施给住户带来健康的自然生活感受。
御景花园,樟木头镇柏地村委会,7000户,东莞,2007-12,普通住宅,东莞市三正物业管理有限公司,,3.5,3.2元/平方米·月,500,50.0%,194442平方米,,,22.904902145947,114.07631652029,"[""http://pic1.ajkimg.com/display/6dbc44eeb0671c277c629d998107f81d/200x200.jpg"",""http://pic1.ajkimg.com/display/f8ee6e693b0a9b483071424cb5c8912e/200x200.jpg"",""http://pic1.ajkimg.com/display/9ba9f2dacce9eb4d74e1ad0b5c5d7c7a/200x200.jpg"",""http://pic1.ajkimg.com/display/796c1b33e715c94d8619172a8e26a9b2/200x200.jpg""]",御景花园位于东莞市樟木头行政中心，占地50万平方米。是樟木头规模最大、知名度最高的明星楼盘。园林绿化比例高达八成，精心打造12个主题园林，每个主题园林均由名师精心设计，流水绿树相映，各有特色。 御景花园精益求精，力臻完美，无论规划设计、园林建筑、物管服务，均达最优质水平，荣获中华人民共和国建设部颁发国家级最高荣誉，成为“全国物业示范住宅小区”。 豪宅可以复制， 景观不可再生。唯有景观资源的稀缺、才是决定豪宅价值的根本。御景顶峰，户户向南，背山面湖，10公里天然山脉，自然天成，樟木头仅有的山环水聚，得水藏风人居宝地。御景顶峰，28层电梯豪宅，领跑樟木头新一代豪宅典范。
景湖春晓,西平四环路,8000户,东莞,2008-06,普通住宅,东莞市光大物业管理有限公司,,1.97,2元/平方米·月,室内泊位2095个，室外泊位163个,45.0%,419848平方米,,,23.000843,113.766778,"[""http://pic1.ajkimg.com/display/47d09fadf023f64a3daf0a22128c5d1f/200x200.jpg"",""http://pic1.ajkimg.com/display/5754bf851e3d53983526866a3ea9ef1e/200x200.jpg"",""http://pic1.ajkimg.com/display/49a48450a9ca44978761fc920c636ddc/200x200.jpg"",""http://pic1.ajkimg.com/display/5e2721e86a4be3ece7f1774884ab3da1/200x200.jpg""]","景湖春晓位于东莞市南城区四环路景湖花园大门口左侧, 占地面积为21.36万平方米。景湖春晓作为景湖大社区的大型洋房组团，优雅气质一脉相承，其超前的规划及高端人群所形成的独特人文环境，使得高品质的生活形态得以完美延续。为城市追求高品质生活的人士打造又一经典，为新城市中心再添靓丽风景。 “景湖春晓”环境园林设计交由国际三甲设计集团----澳洲普利斯执笔，期间，所有的设计理念、图纸均由澳洲总公司亲自操刀，这样在保证园林设计国际品质的同时，更将景湖春晓园内的生态体系发挥到一个淋漓尽致的境界，处处透出非凡品质。 国际级的集团带来国际级的理念，景湖春晓的整体园林规划既立足于小区及周围环境的保护，又着眼于小区建设与使用过程中的可持续发展，即小区建设的系统花、自然化、经济化，使小区建设在景观、人文、经济、建筑、交通等诸方面体现科技进步，更注重以人为本，人与自然的和谐统一，创造优美的人居环境，使资源得到科学有效的利用。 小区的风格： 春晓小区小区地块先天优越，具有东北低、西南高的特点，在景湖春晓，建筑将不在一个平面展开，而是根据地势及建筑架空层的抬高或降低精心规划。从而形成了一个错落有致的建筑景观体系，加之建筑���体采用荷兰风格的现代建筑形态，立面设计富于变化，多户的阳台大小、形状都各不相同，窗台则采用了整幅落地的设计，使整个建筑通透而简洁，生活在这里，你每天都可以发现不同的变化，进而保持一种对生活新鲜的态度，每天都有新的感觉。 建筑设计与景观设计充分利用原有起伏的地势，通过大量架空层地库实现人造缓坡地格局，并采用中央广场、街区园林、私家花园、架空花园和空中花园等不同层次园林景观体系，形成一种人、自然、建筑、与园林为一体的新型生态式家园和地形景观体系；利用多层次（根源于坡地建筑多层次的形态）大量的园林绿化减少小区的绿岛效应，在小区内外采取防噪、降噪等成套设计，进行污染综合治理。"
