title,addressFull,total,city,completion,propertyType,propertyCompany,price,volumeRate,propertyCosts,parking,greeningRate,gfa,metro,bus,lat,lng,images,overview
时代倾城,金星北路与银星路交汇处,15000户,长沙,2013-11,普通住宅,时代物业管理有限公司长沙公司,5724元/平米,3,1.6,1574,37%,2000000平方米,,,28.282961,112.933274,"[""http://pic1.ajkimg.com/display/4f9cdc313bed890e6b9c4ac5a579389f/200x200.jpg"",""http://pic1.ajkimg.com/display/ef3509dfa6c1338f71e080b5ecbfcef4/200x200.jpg"",""http://pic1.ajkimg.com/display/298d96c463701fa80a9e66d28e8c4266/200x200.jpg"",""http://pic1.ajkimg.com/display/6fc18065e4f5107ae498c982613cb67d/200x200.jpg""]",时代倾城是广州市时代地产集团在长沙倾力打造的首个高端精装楼盘，项目雄踞滨水新城CLD核心，紧邻环境优美的月亮岛。与滨江新城CBD紧密对接，项目南3公里为市府中央政务区。项目独占滨水新城、滨江新城、市府中央政务区三大区位优势，势必将成为未来大长沙的发展核心所在。 滨水新城定位水岸新城，东方威尼斯，集渡假、旅游、休闲、高端居住区。而滨江新城定位规划大长沙新的CBD金融商务区，集金融、证券，现代服务业、酒店等。这里未来将建成一个汇集57万人口的国际新城。汇聚长沙、湖南、全国乃至世界的社会精英、商业巨子、都市白领阶层。两大区域优势互补，相得益彰，办公、居住、休闲、旅游、渡假一站式区域优势，成就不可预估的区域价值。 项目周边三纵三横，无障碍快速交通道路网，有金星大道、银杉路、潇湘大道，银星路、普瑞大道、岳麓大道。同时三叉矶大桥，福元路大桥（建设中），银盆岭大桥，月亮岛大桥、营盘路湘江隧道等多条过江通道15分钟便捷到达长沙河东五一广场、老城区等繁华核心商圈。 地铁4号线就在项目设有站点，真正实现家门口的地铁便捷生活。4号线将在2011年国庆节开工，2016年竣工运行。4号线将无缝对接换乘1、2、3号线、城际轻轨，连接长株潭、武广高铁，快速便捷的城轨交通，将区域与老城区完美融合，城市的完善配套，一线共享。 项目毗邻名校，有长郡中学、师大附中、星城实验小学等，同时，项目内部规划有多所国际双语幼儿园。全龄覆盖的文化教育资源配套，完全实现了15年一站式教育，让您的孩子赢在起跑线上。 时代倾城长沙项目总用地面积约66.76万平米（约1001.46亩），总建面约230万㎡，是一个集居住、娱乐、运动、休闲等功能为一体的大型综合社区。 项目整体规划有三大主题豪华会所：体育会馆、临湖休闲会馆、五星级酒店会所，整体多所国际双语幼儿园，同时修建了长沙唯一的一所社区美术馆，给予业主高品位艺术生活。 项目营销中心及临湖会所是由世界著名设计师梁景华先生设计的，营销中心前设12000㎡的广场中心景观轴，后临40000㎡中央湖泊，临湖商务会馆及1000㎡无边界景观泳池，沿湖通向此次在售的项目一期。 项目首期用地6.68万平米（约114亩），总建筑面积31.7万平方米，由20幢32~33层的高层住宅组成，共2496户。每栋住宅首层均为400平米左右的架空层，5.5m高的全精装架空层打造为小区的泛会所，乃长沙罕见，以艺术家的品味装饰整个泛会所，人性化地设置了不
奥林匹克花园,湘府中路189号,1975户,长沙,2008-11,普通住宅,湖南喜达屋物业,8420元/平米,1.99,1.8元/平方米/月,250,43%,860000平方米,地铁2号线,公交车：现有805路.134路,28.116228,113.007009,"[""http://pic1.ajkimg.com/display/15a1218142510df3831f41acc6aead67/200x200.jpg"",""http://pic1.ajkimg.com/display/e03e607fac9a4a5024d7950913a1e1e6/200x200.jpg"",""http://pic1.ajkimg.com/display/4da719136475a01717ba2c1fb2ddb420/200x200.jpg"",""http://pic1.ajkimg.com/display/e5feef6dd929b01460a1c0146c9007b4/200x200.jpg""]","奥林匹克花园的品牌简介:奥林匹克花园是中国房地产业连锁开发的第一品牌，它是由国家体育总局直属企业中体产业进行开发管理的，截止到2008年，在全国21个省市开发了53个项目，总开发面积达到600万平方米，总销售额达到400余亿元。长沙奥林匹克花园位于长沙中央政务区，毗邻省**与天心区**，项目总占地516亩，总建筑面积近70万平方米（其中住宅约40万平方米，商业30万平方米），总投资额逾20亿元，由美国著名KXA建筑师事务所规划设计等国际级设计公司联合打造。 奥林匹克花园周边的配套:小区内部配套:运动城，体育式主题购物公园，趣味公园，超五星级酒店、5A写字楼、奥林匹克广场、购物中心等 综合商场:红星专业大市场 银行：长沙天心农村合作银行湘府支行、建设银行、湘府路邮政储蓄点 其他:省**，天心区**，红星专业大市场，农博会展中心，地质博物馆，省青少年活动中心，音乐厅，环保工业园 会所奥林匹克花园小区内部配套以及八大系统简介: 1. 电梯：采用品牌节能电梯，电梯采用先进的无齿轮永磁同步主机，专利技术的能源再生控制系统，节能70%，其中主人电梯载重1000KG观光梯，速度1.5m/s,加高豪华轿厢，高档实木内饰，大理石拚花地面，液晶显示屏。保姆电梯载重800KG，速度1.5m/s,轿厢采用不锈钢内饰，大理石地面，液晶显示屏。 2. 空调：户式中央空调系统采用美式水机机组，主机交房时安装到位，管道及末端设备由空调厂家按照我司审核的图纸在业主装修时安装（注：业主需交房后二年内装修），采用品牌为特灵、开利、约克和顿汉布什几大知名品牌之一。 3. 除尘：户式中央除尘系统中央除尘系统是将放置在室外除尘主机，通过嵌至墙里的吸尘管道，连接在墙外只留如普通电源插座大小的吸尘插口。当需要清理时只需将一根较长的软管插入吸尘口，灰尘、纸屑、烟头、杂物等，都通过严格密封的管道传送到中央收集站。任何人、任何时间都可以进行全部或局部清洁，确保了最清洁的室内环境，主机交房时安装到位，管道及末端设备由设备厂家按照我司审核的图纸在业主装修时安装、调试到位（注：业主需交房后二年内装修），采用品牌为爱迪士和布朗几大知名牌之一。 4. 新风：户式中央新风系统采用全热交换新风主机，可以保证送入新风的同时很少的损失室内的热量， 可以提供人体健康所需的新鲜空气，送入室内的新鲜空气由于氧气渗透压不同，会逐步由新风送风口扩散到室内各个角落。全部送风均来自室外的新鲜空气，"
盈峰翠邸君墅,,500户,长沙,2011-12,,家利物业管理（上海）有限公司长沙分公司,9562元/平米,,3.5,300,33%,88000平方米,,,0,0,"[""http://pic1.ajkimg.com/display/f27d258e26a8b3e43115e18464d3941c/200x200.jpg"",""http://pic1.ajkimg.com/display/c5ff4f02dafb2dd94717afb11dbefdd0/200x200.jpg"",""http://pic1.ajkimg.com/display/a6fa013650ef6d40f6d12c2b68e6b4f7/200x200.jpg"",""http://pic1.ajkimg.com/display/7307c320d6ece387c3ac793e23371dde/200x200.jpg""]",盈峰翠邸三期君墅，243席珍稀墅居大宅，延续打造长沙豪门坡地贵墅的理念。君墅之内，约0.5容积率的超大型低密度亲水小区，占地约17.6万平方米，总建筑面积约8.8万平方米，君墅所在的大泽湖片区，亦是大河西滨水新城的启动区域，周边开发日趋成熟，新城渐成规模。君墅以260-520平米面积的美墅尺度尽显名门风范。户型多达11种，部份户型设地下室。 盈峰翠邸户户南北通透，包括双拼、联排及叠加户型，总体布局灵活。盈峰翠邸第一期规划逾500间国际级豪邸， 户户南北通透，包括双拼、联排及叠加户型，总体布局灵活。为提高绿化面积，盈峰翠邸将汽车道路与天然景观、园林绿化巧妙结合，让住户与自然共融，时刻享受身心放松。 盈峰翠邸位处长沙金星大道，为长沙市**周边行政商务圈的重要组成部分。项目以国际级豪华住宅为主，并设有大型多功能会所、商业及幼儿园、小学教育设施等生活配套。项目可8分钟往来长沙**市**及岳麓区**。从本区域驾车前往长沙火车站、武广火车站、汽车南站、植物园等众多地点只需要15-30分钟左右车程。20分钟直达五一商圈（五一大道、平和堂、黄兴路不行街等）；45分钟往来机场。可乘坐903、915路公交车在岳麓区**下车. 盈峰翠邸•三期君墅，243席珍稀墅居大宅，延续打造长沙豪门坡地贵墅的理念，拉开湖南领袖阶层人居华章大幕。★【君境】：滨水新城水案核心 首席豪门贵胄领地君墅之东，临大泽湖，朝露晚霞在此化为千亩碧波，草长莺飞是漫步水岸时的诗情画意，千亩公园的规划，正让大泽湖继年嘉湖、西湖、梅溪湖之势，逐步蜕变为长沙第四颗明珠；君墅所在的大泽湖片区，亦是大河西滨水新城的启动区域，周边开发日趋成熟，新城渐成规模。君墅之内，约0.5容积率的超大型低密度亲水小区，占地约17.6万平方米，总建筑面积约8.8万平方米，龙形水系蜿蜒小区之内，衔接亲水花园，彰显贵冑般高尚品位。 这个超大型低密度亲水社区，以原始地貌出发，户户依坡而建，高低错落有致。布局条理分明又层层递进，形成以自然坡地特色的生态景观系统，尽得山水画引人入胜之意韵。大部份单元更呈东南向，南北对流，四季清新怡然，真正演绎奢华卓越墅居生活。★【君临】：市府核心腹地 繁华宁静交汇 盈峰翠邸三期•君墅傲踞大长沙最瞩目焦点，金星大道北，大河西先导区核心，滨水新城腹地，周边三环等主干道形成发达交通脉络，毗邻火车西站、长株潭高铁，前往市**、五一商圈及黄花机场方便快捷，毗邻规划中地铁4号线及火车
中隆国际御玺,体育新城古曲路188号,1395户,长沙,2006-10,普通住宅,湖南恒威物业管理有限公司,8755元/平米,2.78,2元/平米/月,2000个左右,61.00%,416990平方米,,公交车：121（到火车站）、147（到汽车南站）、159（到芙蓉路）、156（到烈士公园）、160（到东塘）、148路,28.167742787395,113.04495028169,"[""http://pic1.ajkimg.com/display/18b39b2826d54272b3dad4ee22ded6d9/200x200.jpg"",""http://pic1.ajkimg.com/display/45b83f7bfe37b82cfe2a10c5412655bf/200x200.jpg"",""http://pic1.ajkimg.com/display/6d1bb43cb614b2a2fdc389a8c98b281e/200x200.jpg"",""http://pic1.ajkimg.com/display/5d40847093b59fdc7837e13aa242ac16/200x200.jpg""]","项目位于长沙市雨花区体育新城板块。小区座拥3000亩的国家标准运动场地，背靠600亩森林公园，周边学校、医院、超市等配套资源齐全，城市地铁、武广高速新客站、长株潭轻轨使得这里路网发达。御玺项目借助良好的区域优势，着力打造""""国际化的高尚社区""""，营造大气、优雅、温馨的居家氛围。 7000平米的中心湖、四季植物分明的植物景观、100米超宽栋距、3.3米层高、两梯两户的纯板式楼、26个户型从180-560平方米不等,户户坐北朝南、采用地热系统、高智能化节能建筑技术运用，73台五星级酒店配置的商务电梯......处处洋溢着高雅、尊贵的生活品质。"
双水湾,长沙市人民东路（芙蓉区政府东，浏阳河与圭塘河交汇处���,2229户,长沙,2011-09,普通住宅,湖南德之瑞物业管理有限公司,6686元/平米,4.67,1.6元/平方米·月,1560,49%,300000平方米,,目前乘坐168路、317路在古曲路口站下车，143路公交圭塘河站下车可到达，建成后503路,28.192496,113.054021,"[""http://pic1.ajkimg.com/display/664d2f20d3509ee75aac5657763008be/200x200.jpg"",""http://pic1.ajkimg.com/display/2cb0153b4a6c982e3e9377e284defeb0/200x200.jpg"",""http://pic1.ajkimg.com/display/6021195629557de6bc49ef001f57427a/200x200.jpg"",""http://pic1.ajkimg.com/display/aa15daa27733ea7eea4961bf092f4bf3/200x200.jpg""]",双水湾项目地处圭塘河与浏阳河两河交汇处，双面环水，紧邻目前长沙房地产市场已经较为成熟的“尚东板块”，紧靠芙蓉区**，距离长沙火车站仅3公里之遥;依体育新城、接武广商圈、邻地铁站口、拥齐全配套，尽享尚东发展的种种利好，城市资源与价值前景并重。 双水湾项目地理得天独厚，享江岸原生绮丽风光，交通四通八达，未来发展潜力无可限量，具备优良的人居环境和投资潜力。 超宽楼间距、人车分层、阳光车库、环保节能材质、智能化管理、高架桥隔音屏、���植防护体系等，开发商站在客户的角度，想的周全而缜密，让人们住的舒心、放心
湘江世纪城,福区政府西侧（临湘江）,22000户,长沙,2008-12,普通住宅,湘江世纪城物业管理有限公司,6567元/平米,4,1.5元/平方米/月,5000,60%,4000000平方米,,149、159、9、128、801路等多条公交路线,28.266682,112.986293,"[""http://pic1.ajkimg.com/display/82af508dd45914f1c73a911cd63c6412/200x200.jpg"",""http://pic1.ajkimg.com/display/55aec70a99fcfa520390b72f0ae08630/200x200.jpg"",""http://pic1.ajkimg.com/display/95a94bfc21d04de8e069fd0a4d34ab4d/200x200.jpg"",""http://pic1.ajkimg.com/display/9fc92f6b9b1fadea31f68575205eb66c/200x200.jpg""]",湘江世纪城是由世纪金源集团投资兴建的超大复合型地产项目，占地面积约100万平方米，总建筑面积约400万平方米，商品房数量约20000套，规划入住约10万人。包括普通住宅、高级住宅、大型购物中心、超五星级标准酒店、学校、商业等多种物业类型，建成后的湘江世纪城将成为长沙市规模最大的高尚综合社区。(星江苑、达江苑、聚江苑、赏江苑、鸿江苑、贯江苑、咏江苑、悦江苑、揽江苑、望江苑 )
碧桂园威尼斯城,星沙大道325号,4292户,长沙,2008-12,别墅,广东碧桂园物业管理有限公司长沙分公司,13842元/平米,0.55,2元/平方米/月,900,61.5%,1434930平方米,,公交车：127.501.703.1.2,28.273058,113.093244,"[""http://pic1.ajkimg.com/display/960052accc92f86597530911372944de/200x200.jpg"",""http://pic1.ajkimg.com/display/1c59d28bd42e40e193ec8ff101b66112/200x200.jpg"",""http://pic1.ajkimg.com/display/07bcb2694b1b5ad635ba5d4c8b1b31b9/200x200.jpg"",""http://pic1.ajkimg.com/display/6f6c64d5288627729d67daf1d3049605/200x200.jpg""]",长沙威尼斯城房地产开发有限公司开发的腾飞岛项目，位于长沙县星沙镇星沙大道北端，项目占地总面积约3000亩，计划建成一个集休闲、娱乐、商业、居住于一体的配套设施齐全的大型高尚居住小区。 　　作为长沙首屈一指的超级大盘，同时也是长沙市首个稀世纯岛岸别墅楼盘，碧桂园?长沙威尼斯城独踞腾飞岛，北有捞刀河缓缓流过，东、南、西三面有松雅河环抱。区内建有长沙首间白金五星级标准建造的社区酒店、中英文碧桂园学校、大型城市商业广场等城市级超级配套。超豪别墅、独立别墅、联体别墅、洋房等产品全面推出，专程为实现长沙成功人士的德五星级生活梦想而来
南山苏迪亚诺,金星大道与普瑞大道交汇处,2000户,长沙,2011-05,别墅,长沙南山物业管理有限公司,6546元/平米,1.06,1.2--1.6元/月/平方米,1332,50%,324531平方米,地铁2号线,"903路、907路公交车,望城高塘岭镇,星城路",28.299048,112.922807,"[""http://pic1.ajkimg.com/display/09a5822d85487a0798de58c7b66cae8f/200x200.jpg"",""http://pic1.ajkimg.com/display/f119114044bf6454c7f51598b0bf897e/200x200.jpg"",""http://pic1.ajkimg.com/display/0675fc939aa4bf0bfb60e6f8e7ebb482/200x200.jpg"",""http://pic1.ajkimg.com/display/16dc32e78dfd90d94448d555fdfa4c73/200x200.jpg""]","该项目位于区域内的核心位置，四周与城市主干道相邻，将成为未来区域的商业核心。该项目所在区域内融会了山景、湘江江景及月亮岛居住和旅游区三大景观资源，是长沙城区内景观资源最丰富的区域之一。同时，也是长沙居住最纯粹的区域之一。 　　项目总体定位为""有特色、彰显大气和尊贵、拥有高性价比""的中高档���市生活小区，具体表现为设计理念新颖，配套设施齐全，组团明确和科学合理，同时充分利用地块的特征，挖掘与提升项目商业价值。产品以联排、洋房、小高层为主，有少量的独立别墅。 　　南山·苏迪亚诺[2]规划设计有良好的空间格局：在分析地形后，在用地东北角和金星大道入口处，结合会所和酒店式公寓设计了两个较大的静水湖，做为小区的景观中心，并由此延伸出两条主要的景观带：一条横贯东西，顺应小区主干道，成为较开放式的景观空间；一条沿原有山谷自然向西南向延伸，成为较悠静的谷地景观。用地的西南角相对独立，以小高层和多层洋房为主要产品，中心有一条步行景观带贯穿其间。三条景观带均衡布置于整个小区，构筑了小区主要的空间格局和景观骨架。沿较繁华的星城大道设置了一条风情商业街。用地东北角是小区重要的对外展示窗口，在此处规划了一栋造型优美的酒店式公寓，会所、商业等配套设施绕湖布置。小区主入口设在用地沿金星大道中部，沿谷地景观带布置了一些较高档的独栋别墅、双拼别墅和Townhouse，用地北部和西部为情景洋房，用地西南部为后续开发的高档小高层和多层洋房。组团空间丰富，邻里交往空间将是重要卖点：将Townhouse和情景洋房通过院落来组织，目的是营造充满人情味的高品质社区。在人们日益厌倦城市冰冷邻里关系的今天，带合院的低密度住宅将会有广阔的市场。小区具有高档的品质：小区内建筑沿星城大道和金星大道沿街分别为二层的商业和五层半的情景洋房，主入口宽畅、大气、绿荫环抱，有利于提升小区的档次。将商业集中设置在北部的商业内街，有利于商业的经营。"
联城国际,,,长沙,,,,4186元/平米,,,,,,,,0,0,[],
长大彩虹都,天心芙蓉南路一段470号（省建工集团正对面,1312户,长沙,2011-11,普通住宅,高盛物业,6913元/平米,4.0,1.2元/平方米/月,865,47.6%,185018平方米,,105路、134路、701路、803路、902路等,28.133702676149,112.99479311635,"[""http://pic1.ajkimg.com/display/9a569e615c992a919a8acee5bf0900a7/200x200.jpg"",""http://pic1.ajkimg.com/display/11ce24ce8f72408f3f1b1f6a41f62612/200x200.jpg"",""http://pic1.ajkimg.com/display/ee8906894c9402916365b8cb856edc36/200x200.jpg"",""http://pic1.ajkimg.com/display/5e5cf0b86a04fad2fcca54267cb58a2a/200x200.jpg""]","“长大•彩虹都”，总占地73.3亩，总建筑面积约18万方，总户数1312套，容积率3.98，绿化率43%，由8栋小高层建筑构成，汲取包豪斯后现代风格，体现都市时尚美学，传达全新居住与商务理念，是长沙南城建设高潮中的全新魅力代表作。
“长大•彩虹都”外立面色彩在素朴的灰色竖条格栏拉出挺拔俊朗效果的同时，其侧面进行了缤纷的色彩处理，使得项目视觉效果从每一个角度都在不断变化，如彩虹灿烂动人，其后现代风格之瑰丽在长沙首次出现，标志着长沙以往一成不变的“灰色”建筑群时代终结，迎接我们的将是炫丽多彩的新建筑，"
